지역번호,지역명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속지점,최대순간풍속(m/s),최대순간풍속지점
0,전국, 1996-02,2.5,22.2,고산,29.5,대관령
0,전국, 1996-01,2.4,22.8,고산,33.2,고산
0,전국, 1995-12,2.2,21.7,고산,29.4,고산
0,전국, 1995-11,2.2,22.8,고산,35,고산
0,전국, 1995-10,1.6,21.3,군산,26.1,고산
0,전국, 1995-09,1.6,17.7,군산,31.5,서울
0,전국, 1995-08,1.8,18.7,보령,33.6,울릉도
0,전국, 1995-07,2,33.2,여수,46.6,통영
0,전국, 1995-06,1.8,15,울릉도,26.3,울릉도
0,전국, 1995-05,2.1,18.3,대관령,33.7,대관령
0,전국, 1995-04,2.4,18.7,동해,32.2,통영
0,전국, 1995-03,2.4,23.7,고산,32.4,울릉도
0,전국, 1995-02,1.9,18.7,고산,30.2,울릉도
0,전국, 1995-01,2.3,20.7,울진,31.6,울진
0,전국, 1994-12,2.1,20.2,고산,28.6,대관령
0,전국, 1994-11,1.7,20.5,대관령,30.1,대관령
0,전국, 1994-10,1.8,27.8,울릉도,40.3,울릉도
0,전국, 1994-09,1.8,21.7,울릉도,34.2,울릉도
0,전국, 1994-08,2,20.2,고산,30.4,울릉도
0,전국, 1994-07,1.8,16.8,고산,31.5,추풍령
0,전국, 1994-06,1.8,22.7,고산,30.5,고산
0,전국, 1994-05,2.3,19,대관령,33.2,대관령
0,전국, 1994-04,2.2,20,고산,32.2,대관령
0,전국, 1994-03,2.6,19.7,고산,29,대관령
0,전국, 1994-02,2.3,23.2,고산,33.8,울릉도
0,전국, 1994-01,1.9,22.5,고산,31.2,대관령
0,전국, 1993-12,2.3,21.7,고산,30.2,대관령
0,전국, 1993-11,2,22,군산,30.2,고산
0,전국, 1993-10,1.9,21.5,고산,29.6,고산
0,전국, 1993-09,1.6,17.7,여수,29.4,울릉도
0,전국, 1993-08,1.6,25.7,울릉도,42,울릉도
0,전국, 1993-07,1.8,14.7,"울진,완도",32.2,군산
0,전국, 1993-06,1.8,23.5,군산,30.8,군산
0,전국, 1993-05,1.9,18.2,대관령,26.1,대관령
0,전국, 1993-04,2.6,26.8,고산,33.2,대관령
0,전국, 1993-03,2.1,22.5,고산,28.1,고산
